episode,total_reward,steps,overloads_total,max_severity,avg_util_mean,power_shed_est,alpha,critic_loss_mean,actor_loss_mean,total_steps
1,23294.84,8759,111011,11.0290,0.3169,8749338.4,1.00000,0.000000,0.000000,8759
2,23344.99,8759,110410,11.7433,0.3167,8763854.4,1.00000,0.000000,0.000000,17518
3,23314.68,8759,110354,11.5114,0.3170,8762807.2,1.00000,0.000000,0.000000,26277
4,-548.91,8759,26215,7.2945,0.1866,43503008.6,0.78391,581.393665,22.214801,35036
5,-753.15,8759,26216,6.6177,0.1864,43778599.7,0.33213,1.154828,35.951205,43795
6,-761.57,8759,26410,5.7000,0.1863,43770790.8,0.13853,0.384713,32.331657,52554
7,-873.61,8759,27941,6.6984,0.1869,43746410.8,0.10000,0.175587,23.663749,61313
8,-1181.96,8759,31978,6.8719,0.1888,43795882.2,0.10000,0.110458,16.923001,70072
9,-1287.89,8759,33028,6.1754,0.1900,43831931.7,0.10000,0.080041,12.790084,78831
10,-1292.55,8759,33644,8.7331,0.1906,43763398.3,0.10000,0.062038,10.358297,87590
11,-1343.67,8759,33217,6.4880,0.1900,43832041.3,0.10000,0.055919,9.035924,96349
12,-1006.87,8759,29674,6.1886,0.1873,43740051.6,0.10000,0.047902,8.430268,105108
13,-1023.08,8759,29161,5.4682,0.1866,43817236.4,0.10000,0.044505,8.093264,113867
14,-1159.30,8759,31518,7.3224,0.1892,43849919.8,0.10000,0.043983,8.004180,122626
15,-1204.70,8759,33068,6.1439,0.1929,43813914.6,0.10000,0.046378,8.019825,131385
